0.23,0.24,0.25,0.29,0.27,0.26,0.28,0.31,0.31,0.32,0.33,0.32,0.33,0.31,0.32,0.30,0.30,0.29,0.28,0.26,0.27,0.25,0.25,0.25,0.24,0.23,0.23,0.25,0.25,0.22,0.22,0.17,0.20,0.15,0.20,0.07,0.10,0.05,0.05,0.06,0.06,0.04,0.06,0.06,0.05,0.06,0.04,0.05,0.03,0.04
0.27,0.29,0.25,0.29,0.29,0.34,0.32,0.34,0.36,0.38,0.35,0.37,0.37,0.36,0.35,0.33,0.34,0.34,0.32,0.30,0.29,0.30,0.29,0.27,0.26,0.24,0.31,0.25,0.26,0.26,0.25,0.26,0.24,0.26,0.23,0.18,0.15,0.14,0.04,0.14,0.04,0.04,0.05,0.04,0.06,0.05,0.07,0.06,0.06,0.05
0.27,0.31,0.29,0.31,0.29,0.32,0.33,0.41,0.38,0.39,0.37,0.38,0.38,0.37,0.35,0.37,0.36,0.34,0.32,0.31,0.31,0.29,0.28,0.27,0.24,0.26,0.30,0.25,0.28,0.26,0.23,0.22,0.22,0.17,0.19,0.15,0.18,0.07,0.13,0.08,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.04
0.29,0.27,0.27,0.30,0.32,0.34,0.36,0.38,0.42,0.38,0.38,0.39,0.38,0.38,0.36,0.36,0.34,0.35,0.34,0.31,0.30,0.28,0.27,0.29,0.27,0.24,0.25,0.26,0.23,0.23,0.25,0.20,0.23,0.23,0.24,0.11,0.12,0.13,0.11,0.05,0.07,0.05,0.06,0.04,0.05,0.03,0.04,0.04,0.06,0.06
0.32,0.27,0.31,0.29,0.31,0.34,0.36,0.37,0.39,0.38,0.39,0.39,0.37,0.37,0.38,0.36,0.38,0.36,0.34,0.35,0.32,0.32,0.27,0.29,0.26,0.26,0.25,0.23,0.19,0.12,0.17,0.13,0.17,0.10,0.08,0.07,0.08,0.09,0.09,0.10,0.09,0.04,0.04,0.03,0.03,0.04,0.05,0.04,0.07,0.06
0.29,0.29,0.30,0.29,0.37,0.31,0.37,0.39,0.40,0.37,0.39,0.40,0.40,0.41,0.40,0.39,0.38,0.38,0.36,0.36,0.33,0.33,0.34,0.28,0.27,0.25,0.24,0.23,0.23,0.10,0.17,0.06,0.06,0.05,0.06,0.06,0.07,0.05,0.06,0.08,0.06,0.04,0.03,0.04,0.03,0.04,0.05,0.05,0.06,0.04
0.31,0.23,0.29,0.27,0.32,0.31,0.38,0.37,0.39,0.38,0.40,0.40,0.42,0.44,0.44,0.42,0.40,0.40,0.40,0.38,0.36,0.34,0.33,0.29,0.28,0.26,0.24,0.23,0.22,0.15,0.09,0.06,0.08,0.07,0.04,0.07,0.03,0.05,0.06,0.08,0.05,0.07,0.05,0.04,0.04,0.05,0.04,0.04,0.06,0.04
0.30,0.29,0.28,0.27,0.30,0.30,0.37,0.34,0.35,0.39,0.40,0.43,0.43,0.45,0.44,0.47,0.45,0.45,0.46,0.44,0.41,0.39,0.37,0.36,0.35,0.31,0.27,0.28,0.23,0.22,0.07,0.09,0.06,0.06,0.05,0.07,0.07,0.08,0.07,0.07,0.07,0.08,0.10,0.05,0.04,0.03,0.03,0.04,0.05,0.04
0.28,0.27,0.31,0.26,0.32,0.30,0.37,0.35,0.36,0.41,0.41,0.46,0.46,0.48,0.52,0.50,0.50,0.48,0.48,0.45,0.44,0.48,0.40,0.40,0.35,0.33,0.29,0.26,0.24,0.22,0.13,0.04,0.06,0.08,0.07,0.09,0.06,0.08,0.07,0.07,0.06,0.08,0.04,0.04,0.05,0.03,0.03,0.04,0.04,0.04
0.30,0.24,0.27,0.27,0.31,0.30,0.36,0.36,0.39,0.40,0.44,0.46,0.49,0.52,0.53,0.53,0.54,0.55,0.54,0.53,0.52,0.48,0.47,0.42,0.38,0.35,0.33,0.29,0.26,0.23,0.18,0.10,0.10,0.06,0.07,0.06,0.06,0.06,0.04,0.07,0.06,0.06,0.05,0.07,0.05,0.07,0.03,0.03,0.04,0.04
